scheme,step,hour,load,slice,slice_name,offered_mbps,delivered_mbps,radio_mbps,compute_cap_mbps,eta,d_e2e_ms,d_transport_ms,d_proc_ms,violated,placement
S0,22,2,0.2,2,YOLO,3.0,3.0,26.295677585536,15.0,0.4816058165849084,117.23034385848382,112.0,3.6,1,central/central/edge
S0,22,2,0.2,3,VIDEO,6.4,6.4,55.14409078933127,32.0,1.009965032771635,114.32749229550176,112.0,1.6,1,central/central/edge
S0,22,2,0.2,4,CPU-OFF,1.6,1.6,92.9591076667775,8.0,1.7025477594647893,131.17297263155135,112.0,18.0,0,central/central/edge
S0,22,2,0.2,5,MQTT,0.4,0.4,84.66252022738645,2.0,1.5505956085601913,114.58647834676668,112.0,0.6,1,central/central/edge
S0,23,2,0.2,1,BE-DL,4.0,4.0,28.065513235787176,20.0,0.5140203889338311,114.25863591545833,112.0,2.0,0,central/central/edge
S0,23,2,0.2,2,YOLO,3.0,3.0,60.90172475800513,15.0,1.1154162043590683,118.58659779691,112.0,3.6,1,central/central/edge
S0,23,2,0.2,3,VIDEO,6.4,6.4,84.85791950729485,32.0,1.554174349950455,114.18738279296285,112.0,1.6,1,central/central/edge
S0,23,2,0.2,4,CPU-OFF,1.6,1.6,36.41076077322754,8.0,0.6668637504254128,132.8400150537613,112.0,18.0,0,central/central/edge
S0,23,2,0.2,5,MQTT,0.4,0.4,132.80084564400985,2.0,2.432249920219961,113.63721526246869,112.0,0.6,1,central/central/edge
S0,24,3,0.2,1,BE-DL,4.0,4.0,50.96674308552306,20.0,0.9334568330681879,117.42869047098023,112.0,2.0,0,central/central/edge
S0,24,3,0.2,2,YOLO,3.0,3.0,64.00970992206291,15.0,1.1723390095615918,116.5641829850205,112.0,3.6,1,central/central/edge
S0,24,3,0.2,3,VIDEO,6.4,6.4,42.20694873881638,32.0,0.7730210391724611,115.79907960536036,112.0,1.6,1,central/central/edge
S0,24,3,0.2,4,CPU-OFF,1.6,1.6,99.92719513593792,8.0,1.830168409083112,132.58741278472962,112.0,18.0,0,central/central/edge
S0,24,3,0.2,5,MQTT,0.4,0.4,69.08506645977965,2.0,1.2652942575051218,112.87870268151462,112.0,0.6,1,central/central/edge
S0,25,3,0.2,1,BE-DL,4.0,4.0,68.50444687691738,20.0,1.254660199210941,114.56514164931333,112.0,2.0,0,central/central/edge
S0,25,3,0.2,2,YOLO,3.0,3.0,42.52390831290506,15.0,0.7788261595770156,117.52315045242165,112.0,3.6,1,central/central/edge
